Attendant, male: 0, female: 3, ratio: 0.0
Attorney, male: 167, female: 42, ratio: 3.9761904761904763
Attorneys, male: 1, female: 0, ratio: 1
Auckland, male: 0, female: 1, ratio: 0.0
Auction, male: 1, female: 0, ratio: 1
Auctioneer, male: 8, female: 0, ratio: 1
Auden, male: 1, female: 0, ratio: 1
Auditor, male: 1, female: 0, ratio: 1
August, male: 1, female: 2, ratio: 0.5
Augusta, male: 0, female: 2, ratio: 0.0
Augustinian, male: 3, female: 0, ratio: 1
Aulie, male: 1, female: 0, ratio: 1
Aunt, male: 0, female: 2, ratio: 0.0
Austen, male: 1, female: 0, ratio: 1
Austin, male: 0, female: 1, ratio: 0.0
Australia, male: 5, female: 1, ratio: 5.0
Australian, male: 2, female: 1, ratio: 2.0
Author, male: 693, female: 534, ratio: 1.297752808988764
Authorities, male: 1, female: 0, ratio: 1
Authority, male: 12, female: 3, ratio: 4.0
Auto, male: 21, female: 3, ratio: 7.0
Autobiographer, male: 1, female: 0, ratio: 1
Automobile, male: 1, female: 0, ratio: 1
Aviator, male: 47, female: 7, ratio: 6.714285714285714
Aviatrix, male: 0, female: 1, ratio: 0.0
Avram, male: 1, female: 0, ratio: 1
Award, male: 52, female: 30, ratio: 1.7333333333333334
Aylesham, male: 1, female: 0, ratio: 1
Azerbaijani, male: 2, female: 0, ratio: 1
Azeri, male: 0, female: 1, ratio: 0.0
B, male: 1, female: 1, ratio: 1.0
BAFTA, male: 1, female: 0, ratio: 1
BOLM, male: 0, female: 1, ratio: 0.0
Ba, male: 1, female: 0, ratio: 1
Babaylan, male: 1, female: 0, ratio: 1
Babbington, male: 0, female: 1, ratio: 0.0
Babylonian, male: 1, female: 0, ratio: 1
Bach, male: 1, female: 0, ratio: 1
Bachelor, male: 0, female: 1, ratio: 0.0
Backpacker, male: 1, female: 0, ratio: 1
Backstroke, male: 1, female: 2, ratio: 0.5
Bacteriologist, male: 3, female: 1, ratio: 3.0
Badminton, male: 0, female: 2, ratio: 0.0
Bagpiper, male: 2, female: 0, ratio: 1
Bahrain, male: 1, female: 0, ratio: 1
Bahraini, male: 1, female: 0, ratio: 1
Bahá, male: 2, female: 1, ratio: 2.0
Bailiff, male: 1, female: 0, ratio: 1
Baily, male: 1, female: 0, ratio: 1
Bajraktar, male: 1, female: 0, ratio: 1
Baker, male: 3, female: 0, ratio: 1
Ballad, male: 1, female: 0, ratio: 1
Ballance, male: 1, female: 0, ratio: 1
Ballerina, male: 0, female: 20, ratio: 0.0
Ballerinas, male: 0, female: 1, ratio: 0.0
Ballet, male: 1, female: 0, ratio: 1
Balloonist, male: 2, female: 1, ratio: 2.0
Baltimore, male: 2, female: 0, ratio: 1
Ban, male: 2, female: 0, ratio: 1
Band, male: 5, female: 0, ratio: 1
Bandeirante, male: 1, female: 0, ratio: 1
Bandit, male: 2, female: 0, ratio: 1
Bandleader, male: 4, female: 0, ratio: 1
Bandoneonist, male: 1, female: 0, ratio: 1
Bandurist, male: 1, female: 1, ratio: 1.0
Banjoist, male: 3, female: 0, ratio: 1
Bank, male: 0, female: 1, ratio: 0.0
Banker, male: 90, female: 3, ratio: 30.0
Bannan, male: 0, female: 1, ratio: 0.0
Bany, male: 1, female: 0, ratio: 1
Baptist, male: 3, female: 0, ratio: 1
Baqir, male: 0, female: 1, ratio: 0.0
Barbara, male: 0, female: 1, ratio: 0.0
Bard, male: 3, female: 0, ratio: 1
Baritone, male: 18, female: 0, ratio: 1
Barlow, male: 1, female: 0, ratio: 1
Baron, male: 19, female: 0, ratio: 1
Baroness, male: 0, female: 1, ratio: 0.0
Baronet, male: 14, female: 0, ratio: 1
Barons, male: 1, female: 0, ratio: 1
Baroque, male: 1, female: 0, ratio: 1
Barraud, male: 1, female: 0, ratio: 1
Barrett, male: 0, female: 1, ratio: 0.0
Barretto, male: 0, female: 1, ratio: 0.0
Barrister, male: 77, female: 6, ratio: 12.833333333333334
Barron, male: 1, female: 0, ratio: 1
Barrow, male: 1, female: 0, ratio: 1
Bartender, male: 2, female: 0, ratio: 1
Baseball, male: 57, female: 0, ratio: 1
Baseballer, male: 1, female: 0, ratio: 1
Baseman, male: 88, female: 1, ratio: 88.0
Bashi, male: 1, female: 0, ratio: 1
Basketball, male: 10, female: 5, ratio: 2.0
Basketballer, male: 1, female: 0, ratio: 1
Basler, male: 1, female: 0, ratio: 1
Bass, male: 15, female: 0, ratio: 1
Bassist, male: 53, female: 5, ratio: 10.6
Bassoonist, male: 7, female: 0, ratio: 1
Bastard, male: 2, female: 0, ratio: 1
Batavian, male: 1, female: 0, ratio: 1
Bateman, male: 1, female: 0, ratio: 1
Batlle, male: 1, female: 0, ratio: 1
Batsman, male: 5, female: 0, ratio: 1
Battel, male: 1, female: 0, ratio: 1
Batter, male: 1, female: 0, ratio: 1
Battle, male: 1, female: 0, ratio: 1
Bauer, male: 0, female: 1, ratio: 0.0
Bavand, male: 1, female: 0, ratio: 1
Baxter, male: 1, female: 0, ratio: 1
Bayonne, male: 1, female: 0, ratio: 1
Beach, male: 1, female: 0, ratio: 1
